player_id,inn_outs,po,a,e,dp,zr,FPCT%,RF,CS%
parismi01,69.0,3.0,5.0,0.0,0.0,0.0,1.0,1.0434782608695652,
paristo01,0.0,17.0,7.0,1.0,0.0,0.0,0.96,inf,
parkch01,5981.0,143.0,319.0,20.0,33.0,0.0,0.9585062240663901,0.6952014713258653,
parkeac01,0.0,108.0,135.0,15.0,22.0,0.0,0.9418604651162791,inf,
parkebi01,2088.0,155.0,157.0,12.0,36.0,0.0,0.9629629629629629,1.3448275862068966,
parkebl01,219.0,4.0,4.0,1.0,0.0,0.0,0.8888888888888888,0.3287671232876712,
parkech01,9.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,
parkecl01,702.0,13.0,35.0,1.0,2.0,0.0,0.9795918367346939,0.6153846153846154,
parkeda01,97626.0,7734.0,295.0,287.0,75.0,0.0,0.9654882154882155,0.7401819187511524,
parkedi01,0.0,1.0,0.0,1.0,0.0,0.0,0.5,inf,
parkedo01,0.0,9.0,35.0,4.0,3.0,0.0,0.9166666666666666,inf,
parkeha01,946.0,14.0,45.0,1.0,1.0,0.0,0.9833333333333333,0.5613107822410148,
parkeja01,0.0,0.0,0.0,0.0,0.0,0.0,,,
parkeja02,1152.0,23.0,37.0,7.0,2.0,0.0,0.8955223880597015,0.46875,
parkeja03,0.0,19.0,0.0,0.0,0.0,0.0,1.0,inf,
parkeky01,105.0,68.0,5.0,1.0,2.0,0.0,0.9864864864864865,6.257142857142857,
parkepa01,0.0,3.0,0.0,0.0,0.0,0.0,1.0,inf,
parkeri01,2454.0,204.0,8.0,3.0,2.0,0.0,0.986046511627907,0.7775061124694377,
parkero01,0.0,0.0,1.0,0.0,0.0,0.0,1.0,inf,
parkesa01,0.0,30.0,21.0,3.0,6.0,0.0,0.9444444444444444,inf,
parkewe01,33081.0,10065.0,707.0,53.0,759.0,0.0,0.9951039260969977,2.9306248299628184,
parkifr01,0.0,738.0,1269.0,106.0,192.0,0.0,0.9498343587316611,inf,
parkji01,0.0,4.0,28.0,4.0,1.0,0.0,0.8888888888888888,inf,
parksar01,0.0,129.0,3.0,3.0,1.0,0.0,0.9777777777777777,inf,
parksbi01,0.0,69.0,23.0,19.0,0.0,0.0,0.8288288288288288,inf,
parksde01,876.0,165.0,20.0,2.0,4.0,1.0,0.9893048128342246,1.9006849315068493,0.2926829268292683
parkssl01,0.0,0.0,3.0,0.0,0.0,0.0,1.0,inf,
parmech01,5568.0,1309.0,95.0,10.0,116.0,0.0,0.9929278642149929,2.269396551724138,
parmero01,0.0,71.0,246.0,17.0,11.0,0.0,0.9491017964071856,inf,
parnebo01,921.0,21.0,62.0,3.0,5.0,0.0,0.9651162790697675,0.8110749185667753,
parneme01,809.0,69.0,327.0,12.0,27.0,0.0,0.9705882352941176,4.405438813349814,
parnhru01,0.0,2.0,15.0,0.0,0.0,0.0,1.0,inf,
paronch01,552.0,7.0,27.0,0.0,3.0,0.0,1.0,0.5543478260869565,
parquji01,1631.0,17.0,74.0,4.0,1.0,0.0,0.9578947368421052,0.5021459227467812,
parrage01,18822.0,2027.0,81.0,38.0,16.0,0.0,0.9822926374650512,1.007969397513548,
parrajo01,546.0,13.0,20.0,2.0,3.0,0.0,0.9428571428571428,0.5439560439560439,
parrama01,1788.0,27.0,66.0,8.0,3.0,0.0,0.9207920792079208,0.46812080536912754,
parreje01,2174.0,35.0,83.0,12.0,7.0,0.0,0.9076923076923077,0.48850045998160074,
parrian01,1851.0,98.0,188.0,8.0,38.0,0.0,0.9727891156462585,1.3905996758508914,
parrijo01,831.0,17.0,40.0,11.0,2.0,0.0,0.8382352941176471,0.6173285198555957,
parrila01,47808.0,2375.0,2012.0,215.0,194.0,0.0,0.9532811820947414,0.8258659638554217,
parrila02,46387.0,9847.0,986.0,98.0,156.0,26.0,0.9910346720336657,2.101817319507621,0.38574793875147234
parrisa01,124.0,10.0,0.0,0.0,0.0,0.0,1.0,0.7258064516129032,
parrist01,2262.0,50.0,94.0,3.0,11.0,0.0,0.9795918367346939,0.5729442970822282,
parrja01,108.0,0.0,4.0,0.0,0.0,0.0,1.0,0.3333333333333333,
parroji01,0.0,570.0,825.0,128.0,86.0,0.0,0.9159553512803676,inf,
parromi01,1485.0,52.0,93.0,3.0,4.0,0.0,0.9797297297297297,0.8787878787878788,
parroto01,0.0,645.0,225.0,59.0,30.0,0.0,0.9364908503767492,inf,
parsobi01,1561.0,32.0,65.0,1.0,5.0,0.0,0.9897959183673469,0.5592568866111467,
parsoca01,417.0,53.0,4.0,0.0,2.0,0.0,1.0,1.2302158273381294,
parsoch01,0.0,1.0,11.0,2.0,0.0,0.0,0.8571428571428571,inf,
parsodi01,0.0,443.0,75.0,11.0,8.0,0.0,0.9792060491493384,inf,
parsoji01,0.0,0.0,16.0,2.0,0.0,0.0,0.8888888888888888,inf,
parsoto01,343.0,4.0,25.0,0.0,1.0,0.0,1.0,0.760932944606414,
partccu01,90.0,2.0,4.0,0.0,0.0,0.0,1.0,0.6,
partero01,0.0,1318.0,157.0,27.0,28.0,0.0,0.9820239680426098,inf,
partest01,0.0,0.0,3.0,1.0,0.0,0.0,0.75,inf,
partest02,0.0,0.0,4.0,0.0,0.0,0.0,1.0,inf,
partrja01,0.0,370.0,498.0,61.0,70.0,0.0,0.9343379978471474,inf,
paschbe01,0.0,367.0,22.0,19.0,1.0,0.0,0.9534313725490197,inf,
paschbi01,71.0,0.0,2.0,0.0,0.0,0.0,1.0,0.2535211267605634,
pascuca01,0.0,0.0,1.0,1.0,0.0,0.0,0.5,inf,
pascuca02,8792.0,210.0,507.0,20.0,26.0,0.0,0.9728629579375848,0.7339626933575978,
pascuva01,432.0,47.0,0.0,2.0,2.0,0.0,0.9591836734693877,0.9791666666666666,
pasekjo01,0.0,87.0,14.0,1.0,3.0,0.0,0.9901960784313726,inf,
pashnla01,511.0,15.0,24.0,0.0,1.0,0.0,1.0,0.6868884540117417,
paskedo01,0.0,3851.0,257.0,136.0,59.0,0.0,0.9679547596606974,inf,
pasleke01,1071.0,196.0,20.0,3.0,0.0,1.0,0.9863013698630136,1.815126050420168,0.19444444444444445
pasquda01,29591.0,3111.0,137.0,48.0,100.0,0.0,0.9854368932038835,0.9878679328174107,
pasqumi01,0.0,0.0,0.0,0.0,0.0,0.0,,,
passecl01,0.0,130.0,583.0,17.0,44.0,0.0,0.9767123287671233,inf,
pastocl01,216.0,5.0,21.0,2.0,0.0,0.0,0.9285714285714286,1.0833333333333333,
pastofr01,2959.0,51.0,124.0,6.0,11.0,0.0,0.9668508287292817,0.5322744170327813,
pastoji01,0.0,28.0,208.0,10.0,10.0,0.0,0.959349593495935,inf,
pastoty01,1377.0,63.0,117.0,8.0,30.0,0.0,0.9574468085106383,1.1764705882352942,
patebo01,654.0,44.0,0.0,0.0,0.0,0.0,1.0,0.6055045871559633,
patejo01,0.0,5.0,62.0,2.0,2.0,0.0,0.9710144927536232,inf,
patekfr01,40683.0,2736.0,4826.0,295.0,1012.0,0.0,0.9624538627975054,1.6728854804217979,
paterjo01,120.0,3.0,10.0,1.0,0.0,0.0,0.9285714285714286,0.975,
patribo01,0.0,8.0,0.0,1.0,0.0,0.0,0.8888888888888888,inf,
patribr01,252.0,2.0,8.0,1.0,0.0,0.0,0.9090909090909091,0.35714285714285715,
pattebo01,1852.0,28.0,69.0,1.0,4.0,0.0,0.9897959183673469,0.4713822894168467,
patteca01,0.0,149.0,568.0,54.0,16.0,0.0,0.9299610894941635,inf,
pattecl01,0.0,4.0,0.0,0.0,0.0,0.0,1.0,inf,
patteco01,26844.0,2333.0,48.0,32.0,17.0,0.0,0.986738499792789,0.798278945015646,
patteda01,0.0,99.0,20.0,29.0,1.0,0.0,0.8040540540540541,inf,
patteda02,693.0,13.0,24.0,3.0,0.0,0.0,0.925,0.4805194805194805,
patteda03,159.0,6.0,5.0,0.0,1.0,0.0,1.0,0.6226415094339622,
patteda04,1157.0,25.0,46.0,3.0,2.0,0.0,0.9594594594594594,0.5522904062229905,
patteer01,3585.0,293.0,102.0,15.0,27.0,0.0,0.9634146341463414,0.9916317991631799,
pattegi01,100.0,5.0,6.0,1.0,0.0,0.0,0.9166666666666666,0.99,
patteha01,0.0,158.0,246.0,15.0,15.0,0.0,0.964200477326969,inf,
patteha02,0.0,76.0,4.0,0.0,2.0,0.0,1.0,inf,
patteha03,0.0,0.0,0.0,0.0,0.0,0.0,,,
patteja01,357.0,18.0,16.0,3.0,0.0,0.0,0.918918918918919,0.8571428571428571,
patteje01,10.0,0.0,0.0,0.0,0.0,0.0,,0.0,
pattejo01,3371.0,324.0,329.0,14.0,82.0,0.0,0.9790104947526237,1.7433995846929695,
pattejo02,1362.0,26.0,40.0,2.0,2.0,0.0,0.9705882352941176,0.43612334801762115,
patteke01,953.0,12.0,38.0,6.0,2.0,0.0,0.8928571428571429,0.472193074501574,
pattemi01,552.0,35.0,0.0,0.0,0.0,0.0,1.0,0.5706521739130435,
