player_id,g,ab,r,h,double,triple,hr,rbi,sb,cs,so,g_idp,BB,SAC,TB,XBH,AVG,OBP,SLG,OPS
ageeto01,1129,3912.0,558.0,999.0,170.0,27.0,130.0,433.0,167.0,81.0,918.0,99.0,402.0,36.0,1613.0,327.0,0.255,0.322,0.412,0.734
agganha01,157,517.0,65.0,135.0,23.0,9.0,11.0,67.0,8.0,3.0,67.0,9.0,57.0,13.0,209.0,43.0,0.261,0.327,0.404,0.731
aglerjo01,234,751.0,121.0,185.0,22.0,10.0,0.0,36.0,38.0,0.0,130.0,0.0,132.0,21.0,227.0,32.0,0.246,0.351,0.302,0.653
agnewsa01,563,1537.0,105.0,314.0,41.0,14.0,2.0,98.0,29.0,10.0,216.0,0.0,127.0,47.0,389.0,57.0,0.204,0.258,0.253,0.511
agostju01,543,20.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,2.0,0.0,0.1,0.136,0.1,0.236
aguaylu01,568,1104.0,142.0,260.0,43.0,10.0,37.0,109.0,7.0,5.0,220.0,27.0,126.0,26.0,434.0,90.0,0.236,0.307,0.393,0.7
aguilch01,149,230.0,26.0,53.0,13.0,2.0,3.0,16.0,2.0,2.0,61.0,3.0,17.0,2.0,79.0,18.0,0.23,0.281,0.343,0.624
aguilje01,26,52.0,2.0,10.0,1.0,0.0,0.0,5.0,0.0,0.0,20.0,1.0,5.0,1.0,11.0,1.0,0.192,0.259,0.212,0.471
aguilri01,737,139.0,12.0,28.0,3.0,0.0,3.0,11.0,0.0,0.0,37.0,1.0,6.0,16.0,40.0,6.0,0.201,0.211,0.288,0.499
aguirha01,447,388.0,14.0,33.0,7.0,1.0,0.0,21.0,1.0,0.0,236.0,4.0,14.0,25.0,42.0,8.0,0.085,0.11,0.108,0.218
ahearch01,1,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.25,0.25,0.5
ahmedni01,159,491.0,58.0,109.0,19.0,6.0,10.0,38.0,4.0,6.0,91.0,6.0,34.0,10.0,170.0,35.0,0.222,0.267,0.346,0.613
aikenwi01,774,2492.0,301.0,675.0,125.0,2.0,110.0,415.0,3.0,6.0,444.0,87.0,379.0,27.0,1134.0,237.0,0.271,0.364,0.455,0.819
aingeda01,211,665.0,57.0,146.0,19.0,4.0,2.0,37.0,12.0,5.0,128.0,16.0,43.0,15.0,179.0,25.0,0.22,0.261,0.269,0.53
ainsmed01,1078,3048.0,299.0,707.0,108.0,54.0,22.0,317.0,86.0,16.0,315.0,0.0,275.0,99.0,989.0,184.0,0.232,0.287,0.324,0.611
ainswku01,30,28.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,5.0,3.0,1.0,0.071,0.061,0.107,0.168
aitchra01,34,59.0,4.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,17.0,0.0,9.0,3.0,10.0,0.0,0.169,0.268,0.169,0.437
aitonge01,10,17.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.235,0.381,0.235,0.616
akejo01,13,52.0,1.0,10.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,1.0,0.192,0.208,0.231,0.439
akerfda01,125,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.111,0.111,0.111,0.222
akerja01,496,92.0,3.0,7.0,2.0,0.0,0.0,4.0,0.0,0.0,51.0,1.0,2.0,10.0,9.0,2.0,0.076,0.087,0.098,0.185
akersbi01,174,475.0,64.0,124.0,17.0,9.0,11.0,69.0,7.0,6.0,64.0,0.0,64.0,14.0,192.0,37.0,0.261,0.34,0.404,0.744
akersje01,5,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.333,0.333,0.333,0.666
alberbu01,6,18.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,1.0,0.278,0.278,0.333,0.611
albercy01,4,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.2,0.0,0.2
albergu01,120,426.0,62.0,84.0,10.0,6.0,1.0,50.0,27.0,0.0,5.0,0.0,61.0,0.0,109.0,17.0,0.197,0.298,0.256,0.554
alberha01,41,99.0,12.0,22.0,2.0,1.0,0.0,4.0,1.0,0.0,17.0,2.0,2.0,3.0,26.0,3.0,0.222,0.231,0.263,0.494
alberma01,394,34.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,3.0,2.0,0.0,0.059,0.054,0.059,0.113
albosed01,19,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,0.0,0.083,0.083,0.083,0.166
albreed01,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25
