player_id,w,l,g,cg,sho,sv,ipouts,h,er,hr,so,BB,ERA,WHIP,BAA,K/9,BB/9,K/BB
barbest02,1,0,22,0,0,2,117.0,34,22,3,18,36.0,5.08,1.795,0.234,4.15,8.31,0.5
barcelo01,5,3,43,0,0,0,198.0,67,33,7,42,22.0,4.5,1.348,0.262,5.73,3.0,1.91
barclcu01,10,9,44,5,2,0,598.0,214,77,24,73,67.0,3.48,1.41,0.272,3.3,3.03,1.09
bardda01,10,19,211,0,0,5,772.0,193,105,25,252,146.0,3.67,1.317,0.213,8.81,5.11,1.73
barera01,16,26,88,9,3,1,1020.0,398,181,28,145,135.0,4.79,1.568,0.293,3.84,3.57,1.07
barfijo01,8,8,65,0,0,2,418.0,153,73,13,53,46.0,4.72,1.428,0.281,3.42,2.97,1.15
barfocl01,8,10,86,2,1,5,751.0,293,114,13,49,77.0,4.1,1.478,0.289,1.76,2.77,0.64
bargagr01,2,3,33,0,0,0,166.0,67,39,10,23,31.0,6.34,1.771,0.298,3.74,5.04,0.74
bargecy01,46,63,151,78,5,9,2927.0,1010,386,18,297,362.0,3.56,1.406,0.281,2.74,3.34,0.82
barkbr01,0,0,3,0,0,0,7.0,2,0,0,0,1.0,0.0,1.286,0.286,0.0,3.86,0.0
barkele01,74,76,248,35,7,5,3971.0,1289,639,96,975,554.0,4.34,1.392,0.252,6.63,3.77,1.76
barkeri01,0,0,5,0,0,0,15.0,6,4,0,3,5.0,7.2,2.2,0.3,5.4,9.0,0.6
barklbr01,0,0,6,0,0,0,33.0,16,12,2,2,11.0,9.82,2.455,0.333,1.64,9.0,0.18
barklje01,0,3,24,0,0,1,135.0,43,27,5,34,19.0,5.4,1.378,0.247,6.8,3.8,1.79
barlomi01,10,6,133,0,0,6,740.0,279,127,16,96,134.0,4.63,1.674,0.29,3.5,4.89,0.72
barnach01,0,7,24,1,0,0,212.0,103,43,2,8,26.0,5.48,1.825,0.34,1.02,3.31,0.31
barnebo01,0,0,2,0,0,0,14.0,14,10,1,1,0.0,19.29,3.0,0.483,1.93,0.0,inf
barnebr01,14,22,116,2,0,3,1219.0,364,178,39,275,221.0,3.94,1.44,0.237,6.09,4.89,1.24
barnefr01,0,2,6,0,0,0,52.0,23,15,0,2,18.0,7.79,2.365,0.315,1.04,9.35,0.11
