,g,ab,r,h,double,triple,hr,rbi,sb,cs,so,g_idp,BB,SAC,TB,XBH,AVG,OBP,SLG,OPS,VOTE%,inducted
brownwi01,418.0,1589.0,236.0,415.0,70.0,17.0,6.0,252.0,39.0,0.0,124.0,0.0,135.0,0.0,537.0,93.0,0.261,0.319,0.33799999999999997,0.657,,
brownwi02,21.0,67.0,4.0,12.0,3.0,0.0,1.0,6.0,2.0,2.0,7.0,2.0,0.0,0.0,18.0,4.0,0.179,0.179,0.26899999999999996,0.44799999999999995,,
broxtke01,7.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
brubabi01,479.0,1564.0,208.0,413.0,85.0,10.0,22.0,225.0,13.0,0.0,239.0,43.0,161.0,30.0,584.0,117.0,0.264,0.327,0.373,0.7,0.0,0.0
bruceja01,1123.0,4111.0,595.0,1018.0,216.0,21.0,208.0,638.0,57.0,34.0,1113.0,65.0,508.0,39.0,1900.0,445.0,0.248,0.32799999999999996,0.462,0.79,,
brucelo01,30.0,101.0,9.0,27.0,3.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,5.0,6.0,30.0,3.0,0.267,0.28600000000000003,0.297,0.583,,
bruckea01,241.0,707.0,87.0,205.0,53.0,8.0,12.0,105.0,2.0,4.0,65.0,11.0,98.0,6.0,310.0,73.0,0.29,0.374,0.43799999999999994,0.812,,
bruckea02,2.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.16699999999999998,0.28600000000000003,0.33299999999999996,0.619,,
bruetjt01,73.0,96.0,9.0,24.0,6.0,0.0,0.0,3.0,6.0,3.0,16.0,1.0,10.0,1.0,30.0,6.0,0.25,0.318,0.312,0.63,,
bruggfr01,259.0,620.0,53.0,172.0,27.0,2.0,6.0,52.0,12.0,5.0,72.0,0.0,48.0,10.0,221.0,35.0,0.27699999999999997,0.324,0.35600000000000004,0.68,,
brumbcl01,21.0,46.0,6.0,10.0,2.0,0.0,1.0,4.0,0.0,1.0,14.0,3.0,3.0,0.0,15.0,3.0,0.217,0.265,0.326,0.591,,
brumfja01,568.0,1575.0,260.0,404.0,91.0,14.0,32.0,162.0,74.0,33.0,290.0,27.0,156.0,23.0,619.0,137.0,0.257,0.319,0.39299999999999996,0.7120000000000001,,
brumlmi01,224.0,660.0,52.0,151.0,24.0,2.0,5.0,50.0,2.0,2.0,89.0,19.0,75.0,8.0,194.0,31.0,0.22899999999999998,0.304,0.294,0.598,,
brumlmi02,295.0,635.0,78.0,131.0,17.0,8.0,3.0,38.0,20.0,6.0,136.0,11.0,49.0,14.0,173.0,28.0,0.20600000000000002,0.258,0.272,0.53,,
brummgl01,178.0,347.0,23.0,87.0,16.0,0.0,1.0,27.0,4.0,8.0,54.0,12.0,29.0,4.0,106.0,17.0,0.251,0.305,0.305,0.61,,
brunato01,1800.0,6289.0,804.0,1543.0,306.0,33.0,271.0,919.0,69.0,70.0,1187.0,146.0,843.0,80.0,2728.0,610.0,0.245,0.331,0.434,0.765,0.0,0.0
brunsar01,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.33299999999999996,0.5,0.667,1.167,,
brunter01,512.0,789.0,115.0,182.0,39.0,3.0,11.0,72.0,31.0,8.0,157.0,17.0,90.0,21.0,260.0,53.0,0.231,0.302,0.33,0.632,,
brushbo01,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
brutobi01,1610.0,6056.0,937.0,1651.0,241.0,102.0,94.0,545.0,207.0,89.0,793.0,73.0,543.0,101.0,2378.0,437.0,0.273,0.327,0.39299999999999996,0.72,0.0027777777777777783,0.0
bruyeed01,26.0,82.0,7.0,15.0,3.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,13.0,1.0,18.0,3.0,0.183,0.292,0.22,0.512,,
bryanbi01,374.0,968.0,86.0,209.0,32.0,9.0,41.0,125.0,0.0,1.0,283.0,14.0,107.0,8.0,382.0,82.0,0.21600000000000003,0.292,0.395,0.687,,
bryande01,39.0,106.0,8.0,19.0,2.0,1.0,0.0,13.0,0.0,0.0,10.0,4.0,11.0,4.0,23.0,3.0,0.179,0.248,0.217,0.465,,
bryando01,59.0,109.0,6.0,24.0,3.0,0.0,1.0,13.0,1.0,0.0,25.0,2.0,9.0,2.0,30.0,4.0,0.22,0.275,0.275,0.55,,
bryange01,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
bryankr01,151.0,559.0,87.0,154.0,31.0,5.0,26.0,99.0,13.0,4.0,199.0,7.0,86.0,5.0,273.0,62.0,0.275,0.369,0.488,0.857,,
bryanra01,79.0,150.0,22.0,38.0,6.0,3.0,8.0,24.0,2.0,2.0,51.0,1.0,19.0,2.0,74.0,17.0,0.253,0.33299999999999996,0.493,0.826,,
bryest01,697.0,1997.0,237.0,515.0,97.0,13.0,30.0,193.0,16.0,14.0,276.0,45.0,160.0,33.0,728.0,140.0,0.258,0.308,0.365,0.6729999999999999,,
bubelja01,11.0,19.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,0.0,2.0,0.0,0.105,0.15,0.105,0.255,,
bubseha01,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
buchabr01,346.0,767.0,105.0,198.0,37.0,3.0,32.0,103.0,9.0,7.0,210.0,21.0,86.0,7.0,337.0,72.0,0.258,0.33,0.439,0.769,,
buchajo01,84.0,195.0,18.0,40.0,10.0,0.0,1.0,15.0,1.0,1.0,21.0,5.0,25.0,2.0,53.0,11.0,0.205,0.293,0.272,0.565,,
bucheje01,421.0,1177.0,96.0,259.0,35.0,11.0,22.0,108.0,5.0,11.0,312.0,37.0,98.0,16.0,382.0,68.0,0.22,0.27699999999999997,0.325,0.602,,
bucheji01,554.0,1792.0,242.0,474.0,66.0,19.0,17.0,193.0,19.0,6.0,113.0,32.0,97.0,25.0,629.0,102.0,0.265,0.298,0.35100000000000003,0.649,,
buckjo01,1090.0,3612.0,389.0,844.0,172.0,9.0,134.0,491.0,6.0,12.0,959.0,86.0,381.0,39.0,1436.0,315.0,0.23399999999999999,0.304,0.39799999999999996,0.7020000000000001,,
