player_id,seasons_played,All-Star,TripleCrown,MVP,CYA,3000H,500HR,1500RBI,3000K,300W,300SV,w,l,g,cg,sho,sv,ipouts,h,er,hr,so,BB,ERA,WHIP,BAA,K/9,BB/9,K/BB,inducted
mcquihu01,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88,94,279,95,10,16,4685.0,1703,665,67,446,507.0,3.83,1.415,0.275,2.57,2.92,0.88,0.0
mamaual01,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,67,254,78,15,10,3879.0,1138,416,22,625,546.0,2.9,1.3019999999999998,0.237,4.35,3.8,1.14,0.0
malonpa02,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134,92,357,115,15,26,5745.0,1934,795,103,1024,750.0,3.74,1.402,0.257,4.81,3.52,1.37,0.0
manzajo01,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,15,267,0,0,6,1026.0,330,179,46,300,191.0,4.71,1.5230000000000001,0.256,7.89,5.03,1.57,0.0
mantema01,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,18,315,0,0,93,968.0,249,146,30,396,232.0,4.07,1.4909999999999999,0.212,11.05,6.47,1.71,0.0
maddumi01,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,37,472,2,1,20,2585.0,873,388,67,564,356.0,4.05,1.426,0.263,5.89,3.72,1.58,0.0
magnami01,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,32,484,0,0,3,1853.0,666,280,45,347,287.0,4.08,1.5430000000000001,0.278,5.06,4.18,1.21,0.0
mahlemi01,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,32,122,3,1,4,1218.0,429,211,40,262,225.0,4.68,1.611,0.27,5.81,4.99,1.16,0.0
mahleri01,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96,111,392,43,9,6,5854.0,2069,866,165,952,711.0,3.99,1.425,0.272,4.39,3.28,1.34,0.0
mahompa01,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,39,308,0,0,5,2127.0,738,431,116,452,428.0,5.47,1.645,0.272,5.74,5.43,1.06,0.0
maulal01,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84,80,188,143,4,1,4304.0,1662,706,59,346,543.0,4.43,1.537,1.6340000000000001,2.17,3.41,0.64,0.0
mathetj01,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,26,362,0,0,16,1306.0,406,185,49,357,203.0,3.82,1.399,0.245,7.38,4.2,1.76,0.0
matlajo01,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125,126,361,97,30,3,7089.0,2276,835,161,1516,733.0,3.18,1.273,0.251,5.77,2.79,2.07,0.0
mathebo01,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297,248,578,525,19,3,14869.0,5591,1591,69,1366,581.0,2.89,1.245,0.493,2.48,1.06,2.35,0.0
mcbeaal01,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67,50,409,22,5,63,3217.0,1058,373,63,575,451.0,3.13,1.4069999999999998,0.26,4.83,3.79,1.27,0.0
mayerer01,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91,70,245,93,12,6,4281.0,1415,469,43,482,399.0,2.96,1.271,0.257,3.04,2.52,1.21,0.0
mayja01,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72,95,410,70,7,19,4687.0,1645,673,35,765,705.0,3.88,1.504,0.26899999999999996,4.41,4.06,1.09,0.0
mayru01,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152,156,535,87,24,12,7866.0,2314,1007,199,1760,1056.0,3.46,1.285,0.235,6.04,3.62,1.67,0.0
masonro01,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,35,232,2,1,13,1249.0,385,186,42,286,196.0,4.02,1.396,0.245,6.18,4.24,1.46,0.0
mastewa02,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,100,399,70,15,20,4949.0,1613,760,101,815,915.0,4.15,1.5319999999999998,0.253,4.45,4.99,0.89,0.0
